track_id,track_name,track_artist,playlist_genre,track_popularity,danceability,energy,valence
6UN1vcxx6OejXncNZonTPF,Home We'll Go,Walk Off the Earth,pop,45,0.617,0.704,0.384
328F2sC7uw6wdkWLggOAQ2,Borrowed Time,Parquet Courts,pop,48,0.4,0.726,0.806
0y1QJc3SJVPKJ1OvFmFqe6,Way Down We Go,KALEO,pop,76,0.489,0.505,0.337
6u8epWzzk3CsJ05sqExF6T,I Could Get Used To This,Becky Hill,pop,64,0.621,0.653,0.345
7pe2OKY04MW1Cunyqrai83,Quick Musical Doodles,Two Feet,pop,8,0.688,0.349,0.433
7kbTZWt7DnzIzbkyzFE1PW,For A Better Day,Avicii,pop,66,0.639,0.843,0.317
4PFAm88FBkY7IFtvCaGctZ,Breakaway,Kelly Clarkson,pop,61,0.268,0.716,0.393
64WGFpBr68nqhKHahymiyZ,Heaven Is Here,Influencers Worship,pop,29,0.591,0.792,0.234
2PnFla1dCxZuMOUvVdW6Pz,Cradles,Besomorph,pop,52,0.521,0.637,0.433
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,pop,80,0.689,0.481,0.283
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,pop,65,0.789,0.858,0.491
3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,pop,88,0.676,0.771,0.569
6lhBJwyNBMPr6ejjscUDCj,Glitterball,Sigma,pop,27,0.496,0.812,0.222
6CUugPwgI9yd0iPdMFkClA,Can't Help the Way,Foley,pop,40,0.745,0.632,0.808
1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,pop,20,0.791,0.619,0.371
3FCto7hnn1shUyZL42YgfO,Piano Man,Billy Joel,pop,70,0.334,0.472,0.431
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,pop,71,0.642,0.772,0.589
4c2Zdtqy5x9BkhTSJRTDmk,"Take Yours, I'll Take Mine",Matthew Mole,pop,16,0.682,0.597,0.465
49aLCvvEKM5EA8IYwDmtaE,Intoxicated - Radio Edit,Martin Solveig,pop,57,0.792,0.688,0.502
2K2B8GdtUfpYfbhOdYxICk,Lullaby,Sigala,pop,34,0.767,0.78,0.716
5fiac7SW61qWXs2hSj3bE4,Settle Down,Gentle Bones,pop,38,0.472,0.617,0.266
1R5hsuowHJztnQE2lvLTJq,Breaking Kind,Steve Angello,pop,36,0.458,0.742,0.248
6TqoydI7ZJdRkwBgPYy7eb,Little Poor Me,Layto,pop,59,0.676,0.787,0.499
4raMIjIjMc8JohHth7l9lG,Bruises - Steve Void Remix,Lewis Capaldi,pop,70,0.79,0.746,0.538
0aOluBqXYd0rFSCsgDyAWX,Take Me to Church,Hozier,pop,24,0.566,0.664,0.437
3a1Zmq0P1E6W80x8EOcVNP,Tough (feat. Noah Kahan),Quinn XCII,pop,67,0.729,0.57,0.687
7ACCDmXvdV7alpC7Cb0ush,Vermin,dolorifics,pop,25,0.682,0.753,0.929
4h2ohOfzR74qDhUmeYE2za,Nobody Else,Wahlstedt,pop,53,0.834,0.661,0.458
5LciLoxa1gK70yIUeoHgRx,To My Love - Tainy Remix,Bomba Estéreo,pop,72,0.764,0.59,0.281
1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),SHAED,pop,90,0.619,0.459,0.498
2h3VovOKaebUKvhhdE0I5U,Natural Fools,Maribou State,pop,56,0.713,0.547,0.118
7IzbHY75UhGztauT7U5eKb,Lola Bunny,Lola Indigo,pop,69,0.769,0.899,0.872
38Zr5Q5O5o6CYaioIRHSqL,Ride Or Die (feat. Foster The People),The Knocks,pop,55,0.648,0.75,0.556
0C3QADQBYFjcSeU8bY7Oex,Simple Hit,Dombresky,pop,55,0.631,0.951,0.703
3R8lr1Y1kPgXEbnXkcMMlT,Call On Me - Ryan Riback Remix,Starley,pop,58,0.691,0.821,0.759
7m97u5zpSWqkDjN4uwY2LP,shut up,Greyson Chance,pop,58,0.821,0.448,0.45
5DzMRynZilaNPx4epDKqM2,Leather Teeth,Carpenter Brut,pop,0,0.441,0.931,0.207
5IxHVYf5BRnwcAUtgI4Hvy,Fantasy,Laureano,pop,34,0.773,0.709,0.594
1aorpj6PO7NFDjWwDF8AG3,Your Call Is Important to Us,Oscar Louis,pop,32,0.597,0.319,0.43
0iBOGfVW1T08dRqtqnMYK0,Say It Again,AJ Mitchell,pop,62,0.51,0.71,0.511
7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,BLACKPINK,pop,2,0.786,0.853,0.45
7LnlYD9vq4c9SOrgWOSuDh,Running Blind,Theo Kandel,pop,37,0.724,0.497,0.576
4YhN72dRYL2Z3MsaKyT7rS,Stay (Don't Go Away) [feat. Raye],David Guetta,pop,74,0.669,0.797,0.552
5TgS4dcUAU8EEb506d8wAT,Ghost,Au/Ra,pop,72,0.667,0.503,0.584
7FLQuyyCaIrBRqNt5l83U4,Reforget,Lauv,pop,62,0.44,0.469,0.225
3CSpzkoL1XgDBZ1q9aDCUV,Uptown Girl,Billy Joel,pop,68,0.696,0.943,0.833
2AY0DkXUfA4Q7YQJtEryJN,Painting Pictures,TOFFE,pop,29,0.618,0.756,0.487
73IFtNOdL6gTXhQzvR69b5,Up All Night,blink-182,pop,1,0.476,0.896,0.45
0ak9xScGzG7JaA1BUlLb7S,Severed,The Decemberists,pop,33,0.605,0.789,0.434
5mOPeaSXywGZX3mDflbDsq,Birch Tree,Foals,pop,59,0.659,0.792,0.466
5TbzAWWc5eJaANpA9kfGCd,Love Me Again,John Newman,pop,72,0.495,0.894,0.213
7tirhoEiNOaHD2RYrjt1k9,Take Care,BCX,pop,37,0.805,0.637,0.577
3eorMV6czNJXcThtrtVpxf,Criminal,Grey,pop,40,0.674,0.519,0.29
5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),Robin Schulz,pop,76,0.636,0.815,0.636
