track_id,track_name,track_artist,playlist_genre,track_popularity,danceability,energy,valence
3gMJMSrU2QETbsILNuybIh,Make A Move - Pt. 2,EMMA WAHLIN,pop,17,0.837,0.52,0.463
69oPVTn6mFjMoB3axEejog,BITCH (takes one to know one),Lennon Stella,pop,63,0.746,0.55,0.522
6kls8cSlUyHW2BUOkDJIZE,Hate Me (with Juice WRLD),Ellie Goulding,pop,88,0.657,0.768,0.759
1mRBJdpIgc3jZH8C3cN2WV,If Only,Dove Cameron,pop,64,0.477,0.6,0.29
46D0hYb1B7qiU33VtXt21W,Easy,Camila Cabello,pop,78,0.574,0.593,0.355
59lmc1erBarSFuxFLxCzVX,Get Upset,Soy Christmas,pop,33,0.679,0.562,0.192
5WvAo7DNuPRmk4APhdPzi8,No Brainer,DJ Khaled,pop,77,0.552,0.76,0.639
1KeZgPUr54C8iz3FjqzVoz,Young,The Chainsmokers,pop,65,0.615,0.564,0.454
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,Adele,pop,79,0.554,0.321,0.288
6rbHOnhczgYjqiRLAI5ehz,Immaculate Fools,Immaculate Fools,pop,0,0.726,0.632,0.856
20PISOo4VbLz4yFH78Zv5R,Swim,Fickle Friends,pop,52,0.594,0.774,0.621
6GvK5IObiZJs4PyTFJTELk,EASY LOVE,Gear 2nd,pop,27,0.802,0.776,0.687
4DjHWjHMYNOXwJ8cfXGzaB,If I Loved You,Royse,pop,38,0.663,0.829,0.425
01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,pop,70,0.734,0.607,0.518
6VEWoWkls3vXeT39gPy2At,Y crois-tu,Fishbach,pop,31,0.561,0.64,0.288
6GbWNeR3P9MTCmSyPVHgb1,Taste,Rhye,pop,58,0.768,0.429,0.415
6p6jjE7ki1CxYCHKbCMh0s,Go,Grant Terry,pop,0,0.583,0.613,0.815
7JTg1KbHm4FXeKL8vSmTqP,I Luv U (with R3HAB),Sofia Carson,pop,71,0.875,0.558,0.44
5gFW8TiJAyPwjQAMuwR2dB,Perfect Machine,Herbie Hancock,pop,12,0.877,0.878,0.839
4IIUaKqGMElZ3rGtuvYlNc,Wild Thoughts,DJ Khaled,pop,15,0.613,0.681,0.619
0hiFoxxMg36FoPIdmiAyfX,Indecision,Shura,pop,0,0.747,0.833,0.936
71G8h9UiqlkXFvBUOKFviS,So High,JAYLIEN,pop,53,0.511,0.715,0.621
6tucelGpAWEAYMUhbND0TO,Echo,Foreign Air,pop,45,0.619,0.805,0.45
6UVZo6UKUZC1J2KPP3IIwQ,yes & no,XYLØ,pop,61,0.835,0.505,0.665
1PT03zQv9YRAYFt8BzgiSS,Gotta Push On,GRiZ,pop,45,0.554,0.528,0.44
6nmz4imkDcmtwMjocAzFSx,Hotline Bling,Drake,pop,9,0.896,0.623,0.585
4JuJZzGcswQszYiKJSnC6i,I'll Be Good,Jaymes Young,pop,65,0.389,0.277,0.125
6MMLr5UnPXkZp5kJHBDPxO,Keep On Waiting,Napkey,pop,37,0.671,0.537,0.344
5a3MulSI25BDyBGg1Gsfpz,Good Together,HONNE,pop,59,0.683,0.658,0.507
4BDb93hwHyVwWbci7CzeDE,We Were Rock and Roll,Janelle Monáe,pop,38,0.651,0.769,0.8
3fNj2LaYofOn3wkwVhsK08,Chery Chery Lady,Toni Lo,pop,41,0.795,0.795,0.796
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,pop,85,0.791,0.862,0.592
3DamFFqW32WihKkTVlwTYQ,Fireflies,Owl City,pop,78,0.513,0.661,0.461
0iYebKFUSfF72fUu2OW6ZT,Super Bass,Nicki Minaj,pop,71,0.72,0.861,0.669
5bPvKo7mH5ZETLSbdP1oHo,AM To PM,Christina Milian,pop,54,0.87,0.876,0.861
1B95cw0Rjg96AKLfxxUSnb,Lost in Someone Else,Casey Derhak,pop,39,0.734,0.551,0.505
0PyGOEylGJ63YvEtA7Dw9P,Here with You,Lost Frequencies,pop,44,0.415,0.774,0.105
0JRIh5NUNF043xDylSYIVk,Un autre que moi,Fishbach,pop,29,0.76,0.634,0.918
3v1W3lS40jrAyGerzF3igy,Up & Down,Vengaboys,pop,61,0.79,0.929,0.894
5nCthAh3jt4xKuLJAifAaR,Harleys In Hawaii,Katy Perry,pop,78,0.722,0.757,0.721
4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,Passion Pit,pop,68,0.566,0.755,0.445
6UlVoivrSMVoyhdc5S2tVk,Midnight Moon,Oh Wonder,pop,49,0.681,0.484,0.646
6vw0UxeHGLCRhWhOZdFxjh,Anything for You,Chelsea Cutler,pop,46,0.549,0.442,0.0437
1dNuytXEaK1gpZMOJHuJxC,Cheap Shots & Setbacks,AS IT IS,pop,8,0.412,0.982,0.55
0x06Qi9pXK8h1SYdvG1iuY,MI NUH FRAID (Extravaganza Riddim),ramhead,pop,22,0.818,0.817,0.81
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,pop,80,0.527,0.835,0.654
0CDoNIHn1ivManl0kloMzj,Anywhere We Go,Kaptan,pop,0,0.573,0.901,0.468
6B4H7k0ANCSCribJM3Z0VP,Yourself,IIWII,pop,31,0.563,0.783,0.281
7EJV4G8HLzJvuQjRGWrnqD,tired of my life,updog,pop,40,0.348,0.478,0.358
2Qizs1bDIl7uhOyPductaz,The Dance,Night Cap,pop,30,0.621,0.769,0.566
0FVUs7Kb4KKl3vsssgZCud,DAYZ,AAAMYYY,pop,44,0.738,0.55,0.599
3d4lc8esnUl7Bx9J9d9oty,Work,MOTi,pop,58,0.704,0.929,0.633
4KMvfofdk7H9eMijiOWYag,Daydream,Eli Way,pop,56,0.389,0.518,0.44
6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,pop,78,0.774,0.838,0.924
6BtmXhTJMM9sBTHeYYASGz,It's Time,Imagine Dragons,pop,66,0.656,0.884,0.86
4VginDwYTP2eaHJzO0QMjG,Circles,Post Malone,pop,49,0.704,0.758,0.534
7dkhaBy2KuMGR9SDtUyXZ1,Photograph,Ljung,pop,45,0.735,0.567,0.494
1RGasjWLZ4qMN7wbtkLa3u,my boy,Billie Eilish,pop,80,0.692,0.394,0.324
7oVEtyuv9NBmnytsCIsY5I,BURN IT DOWN,Linkin Park,pop,73,0.585,0.972,0.585
4gTwPFGhIIlYtlo59jbVUB,High,Young Rising Sons,pop,50,0.646,0.85,0.518
4T6p9mFEP9J1HbQWfdIP6F,Guilty Pleasure,Bryce Vine,pop,50,0.641,0.844,0.834
7evPpWWu01Klxi0KlPxR17,Mercy,Shawn Mendes,pop,18,0.568,0.686,0.4
2jz1bw1p0WQj0PDnVDP0uY,Feels Like Summer,Weezer,pop,57,0.53,0.867,0.74
0MhkdVUCf8ZttUXzZ3J9J6,Another Night,Real McCoy,pop,2,0.812,0.889,0.872
42ydLwx4i5V49RXHOozJZq,Scars To Your Beautiful,Alessia Cara,pop,77,0.573,0.739,0.451
3iQHc5Mk6yN1ntBjJYD89H,Shots - Broiler Remix,Imagine Dragons,pop,7,0.723,0.794,0.589
2rc7BkzO8qepMFAxHtOrXc,Blanco,J Balvin,pop,88,0.87,0.706,0.593
3rYkfYT0aZ2pM8gzH27LSg,What Happened?,Gilligan Moss,pop,30,0.717,0.817,0.962
6nsLzJfvp5OLd4mgqUJkpq,Waiting For Love,Avicii,pop,16,0.577,0.741,0.581
0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),J Balvin,pop,61,0.759,0.716,0.469
7G1GeydTuGnGUvqbSFUW9q,Luna,Belanova,pop,31,0.59,0.954,0.379
2nkdmdmpSreBz0ugsCnUix,High And Dry,Radiohead,pop,0,0.418,0.383,0.352
6BnONjR7itGMEqwxKTIlRM,Safe And Sound,Capital Cities,pop,13,0.653,0.822,0.762
384MzPWC7HLmPNYDrkYlj8,On Top of the World (Remix),Citipointe Live,pop,33,0.494,0.892,0.369
1aSarrHE1TK9vSmyozuo4K,Calma - Alan Walker Remix,Pedro Capó,pop,63,0.811,0.601,0.577
3wyJ90In0gjiWYgXniY4Op,Heroes (we could be) - Branchez Remix,Alesso,pop,48,0.662,0.487,0.33
63ouCvRO1W9dpCl4D9Iotz,Heroes,Janelle Monáe,pop,30,0.751,0.663,0.447
4EnwhEyuVrC1CgvSur5YL4,"Bet On It - From ""High School Musical 2""/Soundtrack Version",Troy,pop,61,0.812,0.67,0.439
0HgIbfeOw6dLuGmPippTlh,Rather Be,Clean Bandit,pop,46,0.83,0.546,0.61
0EP3yjbjHdbUL1miyNlgys,New York,Jake Isaac,pop,48,0.766,0.351,0.583
3O83h4LS797N23DpweeRAa,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,pop,21,0.585,0.782,0.521
7yCyhsU75MYdbeqRLhLY51,smiling when i die,Sasha Sloan,pop,68,0.753,0.41,0.231
1OcCoDKGaQyuBQBYWoGSbo,Take Me Back,Christopher,pop,41,0.755,0.605,0.454
2a56L9B8RtB4vhzXCYAFFU,Renee,SALES,pop,52,0.924,0.386,0.424
1S7hEPenrIVKVTuEjtXKz9,Letting Go,Hogland,pop,66,0.667,0.635,0.217
3pWcj8hxj3fsb9TDAcMpEl,Somebody,The Chainsmokers,pop,13,0.532,0.616,0.292
4pEXlAqaJXQUKDteKRLun9,Rock Me Amadeus - The Gold Mix,Falco,pop,47,0.609,0.901,0.866
24nK8tW7Pt3Inh2utttuoG,HIP,Mamamoo,pop,81,0.782,0.731,0.824
3t87C08isN6yw2DnWOorLm,Hannah Hunt,Vampire Weekend,pop,62,0.345,0.313,0.164
492edpLhOflovry0RJRQ4J,Unbelievable,Andrew Roman,pop,47,0.741,0.565,0.566
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,pop,81,0.649,0.716,0.163
6Ep6BzIOB9tz3P4sWqiiAB,Radioactive,Imagine Dragons,pop,16,0.473,0.777,0.21
7qfoq1JFKBUEIvhqOHzuqX,Non-Stop,Leslie Odom Jr.,pop,66,0.772,0.482,0.441
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,pop,75,0.494,0.698,0.778
32PCjJw8mk1FrJT2FcqRtT,Let's Talk About Sex,Salt-N-Pepa,pop,2,0.871,0.709,0.724
1nInOsHbtotAmEOQhtvnzP,Stronger (What Doesn't Kill You),Kelly Clarkson,pop,73,0.562,0.939,0.684
5KHbu2Go6NBryS0h0TpTNJ,Talk About It,Bancali,pop,0,0.498,0.723,0.318
77o1HdXHm1hLd7Ebe9ygd0,THAT BITCH,Bea Miller,pop,66,0.778,0.738,0.626
23cj0rlc0UtTBaCg60VCkm,Celeste,Ezra Vine,pop,60,0.604,0.841,0.578
6jA8HL9i4QGzsj6fjoxp8Y,There for You,Martin Garrix,pop,74,0.611,0.644,0.13
4XAxQKMOR9scxNT43lBGgL,My Way (ft. Alice Berg),Nicky Romero,pop,12,0.648,0.699,0.371
3yij35M7Qbe8JpzvNiPXp2,Alala,Populous,pop,31,0.758,0.749,0.424
28o8m1o9RGtySbmQJtAvym,Africa,TOTO,pop,55,0.668,0.43,0.772
7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,pop,90,0.459,0.575,0.183
3Nbcx1svCSzmyYG2I81YCZ,Up,Olly Murs,pop,68,0.69,0.845,0.638
0tBbt8CrmxbjRP0pueQkyU,Wolves,Selena Gomez,pop,82,0.724,0.804,0.306
48bSfSZaq9Aizbu4AWn4st,Febreze (feat. 2 Chainz),Jack Ü,pop,57,0.68,0.983,0.263
05UpUTOoVV6PVjfIhjretZ,Conte a Todos,Sango,pop,41,0.869,0.843,0.634
3GBQNAsF37XS3r31EJqS7T,Blue Girl,Chromatics,pop,38,0.616,0.6,0.671
3F8aTQzmKovktFcR7MCGFW,Big in Japan - Best of-Version,Alphaville,pop,57,0.755,0.604,0.491
1Jwc3ODLQxtbnS8M9TflSP,Walk Like an Egyptian,The Bangles,pop,63,0.724,0.891,0.819
3707IBa4HnS3zDDoWfeUBl,I Warned Myself,Charlie Puth,pop,74,0.488,0.311,0.579
43H3q2NWT9LCuYS1B5IUvV,Our Song,Taylor Swift,pop,61,0.667,0.659,0.575
4pI7VTiN59CZnGJUgVZPoy,Murmuration,Blue Wednesday,pop,61,0.686,0.373,0.203
3W3KtDwAIg3mAruSpnfG3Q,Fancy,Iggy Azalea,pop,69,0.912,0.716,0.377
5sv9s4Ru1FbFv8BnNr3vww,Ratchet,DJ White Shadow,pop,23,0.691,0.964,0.297
42zJqS8TW1Lpsa186of3OY,I Feel Like I'm Drowning,Two Feet,pop,8,0.715,0.564,0.213
7qIICzwgm3eu1Ic3ufPGJf,Thick And Thin,LANY,pop,5,0.686,0.564,0.266
46THN9jjPWhSqFUu6YsBhv,Panda,Desiigner,pop,11,0.679,0.734,0.245
5w9c2J52mkdntKOmRLeM2m,Con Calma,Daddy Yankee,pop,87,0.737,0.86,0.656
0TrIO6sENZNH0yYGhNyLdK,One Thing Right - Koni Remix,Marshmello,pop,46,0.646,0.792,0.37
1a9rZyDXVfvyAQQvp63gHc,Naked,Elin Bergman,pop,34,0.703,0.559,0.373
0SzWYIT1tVV27FjUkruzLD,All That - The Knocks Remix,Carly Rae Jepsen,pop,0,0.747,0.785,0.777
4nK5YrxbMGZstTLbvj6Gxw,Supalonely,BENEE,pop,67,0.863,0.631,0.817
4m5n2dnmOyaMJhrivbJWRt,Right Here,Jess Glynne,pop,50,0.801,0.8,0.811
4j7zS5GLS1nl5TBu0CFISZ,I've Changed,Asher Knight,pop,42,0.657,0.73,0.249
1vffte5WTHIik37ePfJdo4,King Kunta,Kendrick Lamar,pop,10,0.884,0.657,0.489
67FPUOM5Q2sSvS3iqLxSFs,Penny,Dimitri Vangelis & Wyman,pop,50,0.468,0.968,0.284
0hKbBE3RwBZQtsnkzBIxIR,Loudspeaker,MUNA,pop,0,0.632,0.596,0.553
2bZMOs3RjmhhGca6MEzjyl,Bitch I'm Madonna,Madonna,pop,60,0.722,0.63,0.519
6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,pop,76,0.688,0.702,0.74
7jzldCBnJjpJM3epzJ85KE,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,pop,78,0.628,0.821,0.465
0XYvHhtD8ONs8Kqzx7D1On,Touch,Great Good Fine Ok,pop,30,0.701,0.7,0.432
368q7QWp27Qbvh7wWFIyA2,Once In A Lifetime,Lost Stars,pop,24,0.758,0.805,0.587
3V9cM3nCH2G66afoDi0snu,BOOM,X Ambassadors,pop,62,0.732,0.594,0.676
75ylrnob5O80WTKi9ugZ1Z,Problems,A R I Z O N A,pop,72,0.72,0.658,0.134
5yZpJTy5l9RllZbapSLp5Z,Walk On Water,Nadia Grace,pop,20,0.529,0.65,0.505
6kbRL1WkHrKxHsBrV3ComC,Come Alive (feat. Toro y Moi),Chromeo,pop,42,0.843,0.757,0.946
2docvXwmea0pDCPv7cDe9s,Filthy Rich,Evalyn,pop,43,0.607,0.55,0.0857
3Zwu2K0Qa5sT6teCCHPShP,Thnks fr th Mmrs,Fall Out Boy,pop,76,0.459,0.891,0.588
5ZiGdWZvv9kaWw1UFcmDur,Shape of You,EZA,pop,2,0.596,0.39,0.652
5d7o3xXERxQGzqk4oMBeiZ,Stay Close,The Years Gone By,pop,0,0.501,0.886,0.77
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Pitbull,pop,77,0.72,0.802,0.723
3ZMFrvkNgwwMfPdX3aThYs,Play That Song,Train,pop,4,0.393,0.825,0.544
3kwRiuw2oJoArGs3EusCgn,Time,Jungle,pop,56,0.693,0.695,0.553
5PKIJnx0ywPYniTl41W2w7,Wonder - Extended,Linier,pop,31,0.866,0.684,0.774
72VK0BfYZFxoMkPWA5a5Iz,Destillat - VNV Nation Remix,Das Ich,pop,38,0.605,0.733,0.225
4nKVDs33yIuL1OhOBfzH65,Straight From The Bottle,Terror Jr,pop,42,0.782,0.478,0.536
5mTJcvxRxq3uF5wUjjciDw,Lucky Strike,Troye Sivan,pop,6,0.612,0.694,0.564
6O20JhBJPePEkBdrB5sqRx,Diamonds,Rihanna,pop,74,0.564,0.71,0.393
6pwQEpLOlwclrsjgEOHEp0,Shadows Of The Night,Pat Benatar,pop,55,0.522,0.682,0.529
6HUnnBwYZqcED1eQztxMBN,Solo Dance,Martin Jensen,pop,15,0.744,0.836,0.36
1CRy08G60mS5jvhB27xMpS,Juliet & Romeo,Martin Solveig,pop,72,0.712,0.664,0.781
1oQwOiKRFTCBUcNKZOICG3,Pig Latin,Havelock,pop,33,0.768,0.406,0.513
6HA97v4wEGQ5TUClRM0XLc,99 Luftballons,Nena,pop,24,0.466,0.438,0.587
31MkGwj0SWgZaTvEt5Hgxv,What About Us,P!nk,pop,65,0.386,0.594,0.187
7723JnKU2R15Iv4T7OJrly,Funky Town,Lipps Inc.,pop,70,0.906,0.63,0.342
2xHEAdEalJ5YcP0ur8kF6L,Warm (feat. HAIM),Charli XCX,pop,55,0.518,0.58,0.396
1WMfmBKlRTUGafwEjtJIhN,"Mucho más allá - De ""Frozen 2""",David Bisbal,pop,57,0.393,0.757,0.444
7uTyLdHB3Ypl38uEoh1EbW,Mi Body Good,Akane,pop,27,0.743,0.782,0.605
1YDJ2f1JuKzYWZpRYiBYHu,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,pop,44,0.518,0.783,0.152
2jukSXCni9myIF79PdgMZw,Happy With Me,HOLYCHILD,pop,47,0.795,0.65,0.919
4D09e1TfOMbuMadTLcl1P6,Faith (with Dolly Parton) [feat. Mr. Probz] - Acoustic,Galantis,pop,57,0.557,0.518,0.354
1mSeH8fuRPe0eKLCfsbdet,Stay,Hotel Apache,pop,44,0.623,0.852,0.789
7DQ5CZjAQdhgDgdnSXxJ7Z,Solid Gold,PNAU,pop,65,0.567,0.946,0.295
36vROPdYhE7MiUJjZ04kPU,Take My Breath Away,EZI,pop,51,0.717,0.616,0.354
5edBgVtRD0fvWk140Sl21T,Counting Stars,OneRepublic,pop,16,0.662,0.71,0.465
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,pop,69,0.65,0.833,0.725
2DGa7iaidT5s0qnINlwMjJ,The Spectre,Alan Walker,pop,75,0.654,0.711,0.198
06FhHrnpYCmIxIxIGUehxQ,Palmar,Caloncho,pop,62,0.888,0.538,0.702
7yXibbAYi4to5oQTeO738f,Pieces Of Me,Ashlee Simpson,pop,54,0.532,0.807,0.759
7j3nbSiaWphYU2cFgyQXd9,Everything Is Embarrassing,Sky Ferreira,pop,49,0.667,0.783,0.564
378iszndTZAR4dH8kwsLC6,Cheap Thrills,Sia,pop,63,0.592,0.8,0.728
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,pop,94,0.501,0.405,0.446
6fYjH3nS3NRxBRmIXsbDtX,There's Still A Light In The House,Valley,pop,16,0.62,0.655,0.335
5PAr8JS5KtQrWzDixaD1Wl,Night Drive,Gorgon City,pop,43,0.689,0.692,0.24
5wPlp34kFeUY2zgcIOxyks,Black & Blue,VIVID,pop,31,0.339,0.775,0.261
5t3KWr8w3yGrAUEqCfizlD,Stupid Love Letter,The Friday Night Boys,pop,27,0.616,0.827,0.557
4EAV2cKiqKP5UPZmY6dejk,Everyday,Logic,pop,77,0.667,0.741,0.422
3BwR5psKNxcyqWoc80eOuq,ILYSB,LANY,pop,54,0.623,0.627,0.459
1Wvzo4EotLEh4W3OVcQoDO,Sleepy Eyes,Elohim,pop,60,0.608,0.736,0.489
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,pop,75,0.686,0.83,0.486
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,pop,62,0.625,0.938,0.371
57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC,pop,81,0.501,0.889,0.257
4AMY0oGSt7vZwgxDnHCJBr,True Colors (feat. Maya Avedis),XO Cupid,pop,73,0.636,0.63,0.454
4bWapK9CYlRbK1B5Sz6ee0,Boys Don't Cry,The Cure,pop,0,0.451,0.906,0.697
7FCfMXYTIiQ9b4hDYs4Iol,Be the One,Dua Lipa,pop,68,0.661,0.651,0.368
4EyjvMJ6llJ5stWDlwo8v6,Bitten By You,Monkey Majik,pop,40,0.677,0.75,0.967
5FTCKvxzqy72ceS4Ujux4N,What's My Name?,Rihanna,pop,68,0.69,0.786,0.583
59nWq4kIuL20RaNdCnnbJ9,Beyond the Sky,ØMG,pop,43,0.774,0.828,0.583
53xSIYBcFnltfPf6ZyQ4je,Heaven,The Neighbourhood,pop,0,0.555,0.712,0.288
3WefHNGtjexZvi66ZEx9u4,Hurts Like Hell (feat. Offset),Madison Beer,pop,75,0.704,0.56,0.609
7K5dzhGda2vRTaAWYI3hrb,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,pop,70,0.632,0.701,0.497
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,pop,84,0.816,0.726,0.65
5x5JM1BSB6vollcIzDocqT,The Climb,Miley Cyrus,pop,72,0.336,0.602,0.299
0QRSW7kFbDloM7ksDqWMjM,Al Siguiente Nivel,Javiera Mena,pop,0,0.454,0.653,0.505
40P8x6FLoYWfR0iNt0bJYo,Home,Fortuno,pop,43,0.494,0.216,0.254
0QNmyQRKrAZ15vdi9QUnXp,Margaret's Hymn,Deborah's Child,pop,34,0.737,0.369,0.494
07OKKRUAmBaJDf8YGF1PD5,Do Me Like A Drug,Emmanuel Franco,pop,35,0.857,0.757,0.374
78rFhTXf81WtRS7Ubl2f4V,Lucky,Chelsea Cutler,pop,73,0.78,0.261,0.639
1rDpCpxEVt0JQQLQbVYxoB,I Can't Keep Waiting,Jackson Powell,pop,41,0.731,0.53,0.587
